x,y
630.0,313.0
640.0,315.0
640.0,315.0
660.0,325.0
685.0,343.0
685.0,343.0
730.0,388.0
738.0,408.0
738.0,408.0
733.0,418.0
733.0,418.0
723.0,414.0
702.0,363.0
696.0,327.0
696.0,327.0
688.0,293.0
688.0,293.0
702.0,241.0
715.0,236.0
730.0,243.0
730.0,243.0
741.0,267.0
741.0,267.0
739.0,289.0
724.0,289.0
727.0,278.0
727.0,278.0
741.0,266.0
741.0,266.0
764.0,266.0
791.0,278.0
791.0,278.0
811.0,308.0
804.0,318.0
804.0,318.0
787.0,314.0
764.0,269.0
767.0,238.0
767.0,238.0
779.0,242.0
779.0,242.0
820.0,275.0
833.0,296.0
843.0,308.0
843.0,308.0
846.0,304.0
846.0,304.0
839.0,263.0
835.0,252.0
835.0,261.0
835.0,261.0
841.0,281.0
841.0,281.0
854.0,299.0
884.0,315.0
890.0,309.0
890.0,309.0
892.0,295.0
892.0,295.0
893.0,275.0
879.0,262.0
866.0,266.0
866.0,266.0
856.0,278.0
856.0,278.0
832.0,291.0
832.0,291.0
807.0,303.0
759.0,311.0
744.0,312.0
744.0,312.0
739.0,315.0
739.0,315.0
752.0,338.0
762.0,358.0
773.0,373.0
773.0,373.0
782.0,378.0
782.0,378.0
789.0,373.0
807.0,352.0
817.0,342.0
817.0,342.0
818.0,340.0
818.0,340.0
811.0,340.0
800.0,348.0
800.0,348.0
775.0,363.0
759.0,368.0
759.0,368.0
747.0,371.0
747.0,371.0
739.0,375.0
737.0,380.0
742.0,377.0
742.0,377.0
751.0,370.0
751.0,370.0
763.0,366.0
786.0,356.0
791.0,353.0
791.0,353.0
790.0,354.0
790.0,354.0
