x,y
658.0,446.0
654.0,449.0
654.0,448.0
652.0,442.0
662.0,407.0
668.0,401.0
676.0,400.0
676.0,400.0
686.0,406.0
692.0,413.0
697.0,419.0
705.0,436.0
705.0,421.0
704.0,409.0
708.0,402.0
708.0,395.0
711.0,388.0
731.0,393.0
748.0,410.0
756.0,417.0
767.0,422.0
779.0,432.0
788.0,432.0
786.0,438.0
774.0,438.0
763.0,431.0
755.0,421.0
743.0,398.0
744.0,381.0
750.0,377.0
756.0,376.0
764.0,373.0
772.0,373.0
798.0,392.0
802.0,397.0
801.0,407.0
798.0,423.0
792.0,427.0
786.0,409.0
793.0,408.0
801.0,410.0
812.0,415.0
812.0,415.0
823.0,423.0
841.0,434.0
846.0,438.0
833.0,402.0
833.0,389.0
831.0,382.0
831.0,378.0
832.0,383.0
835.0,389.0
835.0,389.0
843.0,408.0
888.0,430.0
890.0,422.0
889.0,415.0
883.0,407.0
883.0,398.0
884.0,390.0
906.0,395.0
917.0,403.0
924.0,407.0
935.0,414.0
946.0,419.0
949.0,423.0
949.0,427.0
924.0,429.0
914.0,417.0
910.0,407.0
912.0,401.0
912.0,394.0
920.0,387.0
926.0,386.0
957.0,392.0
964.0,398.0
967.0,408.0
964.0,414.0
963.0,419.0
962.0,426.0
959.0,421.0
963.0,387.0
962.0,372.0
968.0,342.0
964.0,328.0
958.0,311.0
961.0,301.0
949.0,294.0
934.0,303.0
937.0,313.0
943.0,326.0
950.0,340.0
964.0,356.0
965.0,366.0
974.0,376.0
981.0,383.0
986.0,407.0
979.0,411.0
971.0,418.0
962.0,424.0
949.0,431.0
934.0,435.0
918.0,441.0
845.0,464.0
827.0,469.0
808.0,467.0
791.0,470.0
777.0,473.0
764.0,472.0
755.0,472.0
745.0,474.0
746.0,489.0
754.0,497.0
762.0,502.0
768.0,508.0
776.0,513.0
786.0,515.0
814.0,501.0
823.0,494.0
831.0,487.0
839.0,482.0
843.0,482.0
845.0,484.0
845.0,487.0
839.0,490.0
822.0,506.0
827.0,512.0
834.0,519.0
851.0,523.0
870.0,530.0
882.0,536.0
889.0,539.0
